Build Type,Date, Time, Application,Environment,Release,Publish Type,App Job Name, App Job Build Number,Spinner Job Name, Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution,Total Time (In mins.secs)
,7/12/2016,13:04:01,WINDPLM,DEV,wind_dev_4_2_30,app,PLM-WINDPLM-APP,391,,,"46 mins, 59 secs",,"46 mins, 59 secs",46.59
,7/12/2016,15:28:30,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,392,PLM-WINDPLM-DB,347,73 mins 11 secs,1 mins 10 secs,74 mins 21 secs,74.35
,7/13/2016,1:09:05,WINDPLM,DEV,wind_dev_4_2_30,db,PLM-WINDPLM-APP,393,PLM-WINDPLM-DB,348,14 mins 17 secs,0 mins 43 secs,15 mins 0 secs,15
,7/13/2016,2:09:47,WINDPLM,QA,Release_4_2_30,all,PLM-WINDPLM-APP,394,PLM-WINDPLM-DB,349,16 mins 15 secs,0 mins 37 secs,16 mins 52 secs,16.87
,7/13/2016,2:58:50,ENERGYPLM,DEV2,Release_6_0_83,db,PLM-ENERGYPLM-APP,273,PLM-ENERGYPLM-DB,205,25 mins 59 secs,1 mins 12 secs,27 mins 11 secs,27.18
,7/13/2016,4:01:39,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,395,PLM-WINDPLM-DB,350,17 mins 47 secs,0 mins 40 secs,18 mins 27 secs,18.45
,7/13/2016,5:28:46,WINDPLM,QA,Release_4_2_30,db,PLM-WINDPLM-APP,396,PLM-WINDPLM-DB,351,55 mins 35 secs,2 mins 4 secs,57 mins 40 secs,57.67
,7/13/2016,6:22:53,WINDPLM,DEV,wind_dev_4_2_30,db,PLM-WINDPLM-APP,397,PLM-WINDPLM-DB,352,54 mins 0 secs,2 mins 10 secs,56 mins 10 secs,56.17
,7/14/2016,0:12:27,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,399,PLM-WINDPLM-DB,353,24 mins 43 secs,0 mins 53 secs,25 mins 37 secs,25.62
,7/14/2016,2:31:34,WINDPLM,QA,Release_4_2_30,app,PLM-WINDPLM-APP,400,,,25 mins 26 secs,,25 mins 26 secs,25.43
,7/14/2016,4:00:19,WINDPLM,DEV3,wind_dev_4_3_IB,app,PLM-WINDPLM-APP,401,,,20 mins 28 secs,,20 mins 28 secs,20.47
,7/14/2016,4:22:45,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,402,PLM-WINDPLM-DB,354,21 mins 41 secs,0 mins 41 secs,22 mins 22 secs,22.37
,7/14/2016,5:19:11,ENERGYPLM,QA1,Release_6_0_85,db,PLM-ENERGYPLM-APP,276,PLM-ENERGYPLM-DB,207,10 mins 55 secs,0 mins 33 secs,11 mins 28 secs,11.47
,7/14/2016,6:54:53,WINDPLM,DEV4,wind_dev_4_4,app,PLM-WINDPLM-APP,403,,,"19 mins, 9 secs",,"19 mins, 9 secs",19.9
,7/14/2016,7:14:43,ENERGYPLM,QA1,Release_6_0_85,db,PLM-ENERGYPLM-APP,277,PLM-ENERGYPLM-DB,208,10 mins 43 secs,0 mins 32 secs,11 mins 16 secs,11.27
,7/14/2016,8:55:00,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,405,PLM-WINDPLM-DB,356,15 mins 50 secs,0 mins 45 secs,16 mins 35 secs,16.58
,7/14/2016,12:13:49,WINDPLM,QA2,Release_4_4,app,PLM-WINDPLM-APP,406,,,"19 mins, 44 secs",,"19 mins, 44 secs",19.44
,7/14/2016,13:57:28,WINDPLM,DEV4,wind_dev_4_4,app,PLM-WINDPLM-APP,407,,,"19 mins, 1 secs",,"19 mins, 1 secs",19.1
,7/14/2016,15:31:39,ENERGYPLM,QA1,Release_6_0_85,all,PLM-ENERGYPLM-APP,278,PLM-ENERGYPLM-DB,209,20 mins 31 secs,0 mins 35 secs,21 mins 7 secs,21.12
,7/15/2016,5:08:35,WINDPLM,QA3,Release_4_3,app,PLM-WINDPLM-APP,411,,,"12 mins, 13 secs",,"12 mins, 13 secs",12.13
,7/15/2016,5:18:56,WINDPLM,QA3,Release_4_3,app,PLM-WINDPLM-APP,412,,,"10 mins, 21 secs",,"10 mins, 21 secs",10.21
,7/15/2016,5:58:21,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,413,PLM-WINDPLM-DB,359,18 mins 4 secs,0 mins 38 secs,18 mins 43 secs,18.72
,7/15/2016,6:55:18,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,414,PLM-WINDPLM-DB,360,17 mins 5 secs,0 mins 44 secs,17 mins 49 secs,17.82
,7/15/2016,7:21:25,WINDPLM,QA3,Release_4_3,app,PLM-WINDPLM-APP,415,,,16 mins 30 secs,,16 mins 30 secs,16.5
,7/15/2016,8:29:39,AEROPLM,DEV,Dev_3_10_0,db,PLM-AEROPLM-APP,188,PLM-AEROPLM-DB,196,8 mins 35 secs,1 mins 4 secs,9 mins 40 secs,9.67
,7/15/2016,11:07:55,WINDPLM,DEV3,Release_4_2_30,db,PLM-WINDPLM-APP,418,PLM-WINDPLM-DB,362,14 mins 10 secs,0 mins 44 secs,14 mins 55 secs,14.92
,7/15/2016,15:50:01,ENERGYPLM,QA1,Release_6_0_85,all,PLM-ENERGYPLM-APP,279,PLM-ENERGYPLM-DB,210,16 mins 37 secs,0 mins 30 secs,17 mins 7 secs,17.12
,7/16/2016,0:07:11,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,420,PLM-WINDPLM-DB,364,25 mins 1 secs,0 mins 40 secs,25 mins 41 secs,25.68
,7/18/2016,3:51:30,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,421,PLM-WINDPLM-DB,365,11 mins 19 secs,0 mins 42 secs,12 mins 2 secs,12.03
,7/18/2016,4:48:07,ENERGYPLM,QA1,Release_6_0_85,app,PLM-ENERGYPLM-APP,281,,,19 mins 51 secs,,19 mins 51 secs,19.85
